6th Avenue Auto Centre,123,Heugh Road,WALMER,6070
Aqua Mall Service Station,1,Faura Marine Drive,GORDONS BAY,7151
Assembly Motors,156,Halt Road,ELSIES RIVER,7460
Auto Atlantis,,Ivan Hampshire Place,ATLANTIS,7350
Benba Motors,224,Voortrekker Road,GOODWOOD,7460
Ben Vorster Motors,26,Koeberg Road South,MAITLAND,7405
Blue Route Service Station,20,Tokai Road,TOKAI,7945
Boulevard Motors (Goodwood),116,Vasco Boulevard,GOODWOOD,7459
BP Aero Motors,,Wetton Road,KENWYN,7790
BP Airport,,Borchards Quarry Road,CAPE TOWN INTERNATIONAL,7525
BP at Greenacres,50,Cape Road,PORT ELIZABETH,6070
BP Belhar Drive,,Belhar Drive & Alabama Avenue,BELHAR,7490
BP Bonga,,cnr Bonga  Sulani Drive,KHAYALITSHA,7784
BP Capricorn,,Prince George Drive,CAPRICORN PARK,7945
BP Cavendish,214,Main Road,CLAREMONT,7740
BP Clocktower,,cnr Lavender & Eisleben Roads,MITCHELLS PLAIN,7780
BP Despatch Motors,,H F Verwoerd Drive,DESPATCH,6219
BP Dorp Street,73,Dorp Street,STELLENBOSCH,7599
BP Durham,2,Durham Avenue,SALT RIVER,7925
BP Elite Service Station,80,Main Road,MUIZENBERG,7945
BP Garage Franschhoek,,Main & La Cotte Streets,FRANSCHHOEK,7690
BP Gordons Bay,1,Beach Road,GORDONS BAY,7150
BP Grabouw,1,Marsh Rose Mall Oudebrug Road,GRABOUW,7130
BP Helderberg,87,Broadway,STRAND,7139
BP Heritage Park,,cnr George Street Ext & N2 Motorway,SOMERSET WEST,7150
BP Jeffrey's Bay,94,Da Gama Road,JEFFREYS BAY,6330
BP Kabega Service Station,615,Cape Road,PORT ELIZABETH,6025
BP Lansdowne,,cnr Stock & Lansdowne Roads,PHILLIPI,7785
BP Letchworth,,Letchworth Drive,EDGEMEAD,7441
BP Makana,30,Beaufort Street,GRAHAMSTOWN,6140
BP Makhaza,,Lansdowne Road,KHAYELITSHA,7784
BP Merriman,,Cnr Merriman Ave & Andringa Street,STELLENBOSCH,7599
BP Montague Drive,32,Montague Drive,MONTAGUE GARDENS,7441
BP Newlands,35,Newlands Avenue,NEWLANDS,7800
BP Park Drive,2,Link Road,TABLEVIEW,7441
BP Pinelands,,cnr Forest Drive & Stephens Road,PINELANDS,7430
BP Prince George Drive,,Prince George Drive,RETREAT,7800
BP Promenade,,AZ Berman Drive,MITCHELLS PLAIN,7785
BP Retreat Service Station,198,Retreat Road,RETREAT,7945
BP Rosmead,,Cnr Rosmead & Wetton Road,KENILWORTH,7848
BP Sandown,1,Sandown Road,BLOUBERG SANDS,7436
BP Southfield,146,Victoria Road,SOUTHFIELD,7800
BP Stanford Road,,cnr Stanford  Aubrey Roads,GALVENDALE,6016
BP Strand,45,Main Road,STRAND,7140
BP Tygervalley,273,Durban Road,BELLVILLE,7530
BP Walmer Gardens,,Cnr 10th Ave & Main Road,WALMER,6065
BP Wine Route,,Cnr Old Main Road & R44,KLAPMUTS,7600
Brighton Motors,3,Brighton Road,KRAAIFONTEIN,7570
Buffelsjagsrivier Service Stat,N42,National Road,BUFFELJAGSRIVIER,6742
Cedars Service Station,,cnr Cedars & Boshoff Roads,MITCHELLS PLAIN,7802
Ceresvallei Motors,44,Vos Street,CERES,6835
Circular Drive Service Station,153,Circular Drive,WALMER,UNALLOC
Colchester Motors,,cnr Jetty  Darling Street,COLCHESTER,UNALLOC
Connaught Motors,121,Connaught Road,PAROW VALLEY,7500
Cottage Motors,52,Camp Ground Road,RONDEBOSCH,7700
Daljosaphat Motors,,Oosbosch Street,PAARL,7646
Dalvale Service Station,,Jan van Riebeeck Drive,DALJOSAPHAT,7620
Darling Motors,,Main Road,DARLING,7345
De Kuilen Auto,35,Van Riebeeck Street,KUILSRIVIER,7580
Disa Service Station,,Lobelia & Main Roads,HELDERVUE,7140
Donkin Motors,170,Donkin Street,BEAUFORT WEST,6970
Drop In Service Station,,cnr Bell & Beetlestone Roads,GELVANDALE,6020
E en R Motors,55,Jan Smuts Drive,PAROW,7500
Erica Service Station,,Chestnut & Willow Way,BELHAR,7490
Fifth Avenue Motors,,Fifth Avenue,PAROW,7500
Fiveways Service Station,59,Cape Road,PORT ELIZABETH,6065
Fleetway Service Centre,54,Section Street,PAARDEN EILAND,7405
Hawston Service Station,,Gert Viljoen Road,HAWSTON,7202
Heidelberg Motors,1,Eksteen Street,HEIDELBERG,6665
Highway Motors (Port Alfred),70,Albany Road,PORT ALFRED,6170
Hout Bay Petrol Filling Statio,122,Main Road,HOUT BAY,7872
Huda Service Station,,cnr Erica & Merrydale Roads,LENTEGEUR,7785
Hudson Spence & Son,183,Kempston Road,SIDWELL,6061
Hugo and Hugo,,Velddrif Road,VREDENBURG,7380
Hyundai Worcester,38,High Street,WORCESTER,6851
Ibhayi Truck Stop,,"Propnet Park, Ries Street","DEAL PARTY, PORT ELIZABETH",4001
Ideal Service Station,152,Durban Road,KORSTEN,6013
Kenny's Service Centre,93,Cuyler Street,UITENHAGE,6230
Kenridge Motors,,Cnr Mildred and Tygervalley Roads,KENRIDGE,7550
Kirstenhof Motors,347,Main Road,KIRSTENHOF,7974
Knock All Service Station,,Salamntu Street,KWAZAKHELE,6061
Knysna Nissan,56,Main Street,KNYSNA,6570
Komkyk Motors,N1,National Road,TOUWS RIVER,6880
Kwik 'n Go Bredasdorp,72,Kerkstraat,BREDASDORP,7280
La Belle Motors,,La Belle Road,STIKLAND,7357
Lategans Garage,14,Church Street,WELLINGTON,7654
Links Service Station,,Main & Stellenbosch Strs,HELDERBERGVUE ESTATE,7130
Loevenstein Motors,3,Voortrekker Road,BELLVILLE,7551
Lorraine Motors,136,Luneville Road,LORRAINE,6070
Malibu Service Station,1,London Way,BLUE DOWNS,7490
Malmesbury Toyota,88,Voortrekker Road,MALMESBURY,7300
Milnerton Service Station,434,Koeberg Road,MILNERTON,7441
Modacks Service Centre,,The Downs Avenue,MANNENBERG,7764
Montagu Vulstasie,,Bath Street,MONTAGU,6720
Morgenster Service Station,,Morgenster Avenue,MITCHELLS PLAIN,7802
Motorport,,cnr Blaauwberg Rd & Raats Drive,TABLE VIEW,7441
Mountain View Motors,,Kendal & Edelweis Roads,EVERSDAL,7550
New Freeway Motors,,cnr David & Reen Roads,ATHLONE INDUSTRIA,7766
North Paarl Service Station,546,Main Road,PAARL,7320
Oak Cottage Motors,35,African Street,GRAHAMSTOWN,6140
Oakvlei Motors,,cnr Hadley  Old Paarl Road,BELLVILLE,7561
Osmans Service Station,,Owen Road,ELSIES RIVER,7480
Pinati Service Station,,cnr Induland & Blomvlei Roads,LANSDOWNE,7780
President Motors,110,Regent Road,SEA POINT,8001
Rays 1,1,Nourse Avenue,EPPING INDUSTRIA,7475
Rays 2,,Goodenough Avenue & Bofors Circle,EPPING 2,7475
Riverside Service Station,40,Grahamstown Road,SWARTKOPS,6210
Rocklands Service Station,,cnr Caravelle & Handley-Page Roads,ROCKLANDS,7786
Rocky's Service Station,,Cnr Klip & Lake Road,GRASSY PARK,7945
Rondebosch Motors,16,Main Road,RONDEBOSCH,7700
Roundabout Motors,,Old Strandfontein Road,WETTON,7780
Ry-Gate Service Centre,12,Hazel Road,GATESVILLE,7764
SB Delta,79,Nojoli Street,SOMERSET EAST,5850
Schepel's Garage,330,Voortrekker Road,GOODWOOD,7460
Schwarzland Auto Haus,127,Voortrekker Road,MALMESBURY,7299
Sentra Motors,8,Voortrekker Street,PORTERVILLE,6810
Sharwoods North End,556,Govan Mbeki Ave,PORT ELIZABETH,6001
Showground Motors,50,Uitenhage Road,NORTH END,6001
Somerset Road Service Station,,PO Box 51398,V & A WATERFRONT,8005
Spes Bona Tractors,,Klein Drakenstein Road,KLEIN DRAKENSTEIN,7628
Stikland Auto,1,Bridge Road,STIKLAND,7530
Supercars Fuel Sales,362,Voortrekker Road,PAROW,7500
Super Service Station,81,Victoria Road,SOUTHFIELD,7780
T G Motors,10,York Street,GEORGE,6530
Therons Garage,,Voortrekker Road,BELLVILLE,7530
Thornton Service Station,58,Cypress Avenue,THORNTON,7460
Trawal Truck Inn,N7,National Road,KLAWER,8145
Valley Motors,1,Irene Way,SUN VALLEY INDUSTRIA,7975
Vic White Motors,26,Hazel Road,RYLANDS ESTATE,7780
Village Service Station,62,Main Road,FISH HOEK,7945
Villiersdorp Toyota,56,Main Street,VILLIERSDORP,6848
Wavecrest Motors,,cnr Dennegeur Ave & Benguela Road,STRANDFONTEIN VILLAGE,7788
Welgelegen Motors,1,Elvy Street,PANORAMA,7500
Westlake Service Station,,Main Road,WESTLAKE,7945
Wetlands Service Station,662,Lansdowne Road,LANSDOWNE,7780
Willem Du Toit Motors,,Main Road,SALDANHA,7395
Winston Linford Motors,39,Voortrekkerroad,OUDSTHOORN,6620
Woodlands Service Station,,Cnr Eros & Mitchells Ave,MITCHELLS PLAIN,7785
Worcester Renault,107,High Street,WORCESTER,6850
Wynland Motors,3,Oosbosch Street,PAARL,7645
