Boulevard Motors (Tzaneen),,Sanlam Centre,TZANEEN,850
BP Alphen Park,,Cnr Selati & Garsfontein Roads,ALPHEN,49
BP Atterbury Value Mart,,Atterbury Road,FAERIE GLEN,42
BP Badplaas,,On Badplaas & Carolina Rds,BADPLAAS,1685
BP Bapsfontein,,Cnr R50 Delmas & Pretoria Str,BAPSFONTEIN,1517
BP Berea (Pta),,cnr Railway & Scheiding Streets,PRETORIA CENTRAL,1
BP Bergbron,461,Gordon Road,ROODEPOORT,1712
BP Beyers Naude Oasis - North,,Beyers Naude Drive & N1 Freeway,RANDBURG,2194
BP Beyers Naude Oasis - South,,Beyers Naude Drive  N1 Freeway,RANDBURG,2194
BP Boulders,,c/n Old Pretoria & Alexander Street,MIDRAND,1685
BP Broadacres,,cnr Valley & Ceder Roads,BROADACRES EXT 1,2194
BP Bromhof,,Cnr Pres Fouche & Haw,BROMHOF,2040
BP Bryanston,,Cnr Main  Grosvenor Road,BRYANSTON,2021
BP Centurion,5,Bloukrans Street,HIGHVELD EXT 1,46
BP Charles Street,,cnr Charles & Atterbury Streets,PRETORIA,28
BP Clubview,12,Mark Street,VIRGINIA,9430
BP Ebony Park,,Corner Acacia and Bluegum Streets,THEMBISA,1685
BP Edenburg,98,Cnr Rivonia Boulevard & 12th Aven,SANDTON,2010
BP Elardus Park,849,Barnard Street,ELARDUS PARK,153
BP Eldo Glen,,Cnr Willem Botha & K103 (Hans Stry),"ELDORAIGNE, CENTURION",157
BP Emporium,,cnr Smit & Van Staden,RUSTENBURG,300
BP Evander,89,Standford Road,EVANDER,2280
BP Fairland,55/56,Beyers Naude Drive,KELLAND,1820
BP Fourways,,cnr Sunset Boulevard & William Nico,SANDTON,2196
BP Gallo Manor,,Bowling Avenue,GALLO MANOR,2052
BP Hans Strydom,63,Hans Strydom Avenue,LINDEN EXTENTION,2115
BP Hazelwood,,Eighteenth & Dely,HAZELWOOD,102
BP Hebron,,Lucas Mangope Highway,HEBRON,156
BP Highway,,Zone F,SOSHANGUVE HIGHWAY,2164
BP Jean Avenue,,cnr Rabie & Jean Avenue,CENTURION,46
BP Khuboni,,Cnr Brian Mazibuko & Thamimnyele dr,TEMBISA,1632
BP Kramerville,,cnr Bowling & Archmedies Roads,KRAMERVILLE,2148
BP Linden Park,,Cnr Bramfischer Drive & 1st Ave,LINDEN,2123
BP Luipaard,437,Main Road,KRUGERSDORP,1739
BP Mabopane,,Buitekant Street,"MABOPANE STATION, SOSHANGUVE",190
BP Mahube Valley,,Mayibuye Street,MAMELODI,122
BP Mamelodi Gardens,,cnr Broadway & Hinterland Roads,MAMELODI GARDENS,122
BP Monte,316,William Nicol Drive,BRYANSTON,2021
BP Motors,,Cnr Hans Strydom & Bailey Street,WITBANK,1038
BP Mountain View,504,Karel Trichardt Avenue,MOUNTAIN VIEW,82
