222 Service Station,,,,,,,,10,Gately Street,EAST LONDON,5205
AC Wild Coast Motors Services,,,,,,,,,Wild Coast Casino,MZAMBA BEACH,4270
Araf Fuel Centre,,,,,,,,299,Soloman Mahlangu Drive,ROSSBURGH,4094
Auto Tyres,,,,,,,,22,Queen Street,EAST LONDON,5201
Bashee Motors,,,,,,,,5,Richardson Road,IDUTYWA          TRANSKEI,5000
Bergville Garage,,,,,,,,,cnr Kingsway & Tatham Roads,BERGVILLE,3350
Berlin Garage,,,,,,,,2,Legion Street,BERLIN,5660
BP Alice,,,,,,,,1,Bridge Street,ALICE,5700
BP Arena Park,,,,,,,,,Arena Park Road,CHATSWORTH,4030
BP Berea E L,,,,,,,,18,Pearce Street,EAST LONDON,5201
BP Bluff,,,,,,,,100,Grays Inn,BLUFF,4052
BP Buffalo Street,,,,,,,,,Cnr Buffalo & Albany Sts,EAST LONDON,5200
BP Cascades Service Station,,,,,,,,,McCarthy Drive,PIETERMARITZBURG,3202
BP Chatsworth Circle,,,,,,,,4,Joyhurst Road,CHATSWORTH,4030
BP Church Street,,,,,,,,434,Church Street,PIETERMARITZBURG,3201
BP Clare Road,,,,,,,,177,Clare Road,CLARE ESTATE,4001
BP Dube Village Mall,,,,,,,,,Curnick Ndlovu Highway,INANDA,4310
BP Edendale Service Station,,,,,,,,,Main Road,EDENDALE,3217
BP Escombe,,,,,,,,,PO Box 56343,CHATSWORTH,4030
BP Fairways-On-Main,,,,,,,,45,BP Fairway-on-Main,HOWICK,3290
BP Gately Motors,,,,,,,,12-Oct,Settlers Way,EAST LONDON,5600
BP Goodwood Pitstop,,,,,,,,95,Goodwood Road,MAHOGANY RIDGE,3610
BP Hammarsdale,,,,,,,,,Old Main Road,HAMMARSDALE,3700
BP Hillcrest,,,,,,,,42,Old Main Road,HILLCREST,3601
BP Hitech Motors,,,,,,,,28,Cathcart Street,KING WILLIAM'S TOWN,5600
BP Jozini,,,,,,,,,Main Road,JOZINI,3969
BP King,,,,,,,,,Alexandra Road,KING WILLIAM'S TOWN,5600
BP Kwa Mashu Service Station,,,,,,,,,PO Box 27015,KWA MASHU,4360
BP Madadeni,,,,,,,,10203,Main Road,NEWCASTLE,2940
BP Mandini,,,,,,,,1,Long Road,MANDINI,4490
BP Northdene,,,,,,,,670,Main Road,NORTHDENE,4093
BP Northend Service Station,,,,,,,,560,Chris Hani Road,BRIARDENE,4051
BP Oxford Street,,,,,,,,276a,Oxford Street,EAST LONDON,5201
BP Pitstop,,,,,,,,59,Allen Street,NEWCASTLE,2940
BP Prospecton Road Service Sta,,,,,,,,2D,Prospecton Road,PROSPECTON,4110
BP Raisethorpe,,,,,,,,550,Chota Motala Road,RAISETHORPE,3201
BP Ramsgate,,,,,,,,196,Marine Drive,RAMSGATE,4285
BP Richmond Road,,,,,,,,12-Aug,Richmond Road,PINETOWN,3600
BP Ridge Oasis,,,,,,,,,Northbound,CATO RIDGE,3680
BP Sam Service Station,,,,,,,,,cnr Mayibuye Drv & Mkhiwane St,UMLAZI,4001
BP Scottsville,,,,,,,,60,Durban Road,PIETERMARITZBURG,3201
BP Sibaya,,,,,,,,,Cnr M4 & Sibaya Drive,UMDLOTI,4350
BP South Road Service Station,,,,,,,,1,South Road,NORTHDALE,3201
BP Sparks Road,,,,,,,,29,Sparks Road,OVERPORT,4001
BP Sydney Road,,,,,,,,483,Sydney Road,SYDNEY,4001
BP Umbilo,,,,,,,,570,Umbilo Road,UMBILO,4001
