name,address,suburb,Tel no.
A Club S/Station,273 Lynwood Road/Menlo Park,,
A.J Motors,2 Eeufees Rd,Ferryvale,
Adamay Motors,1 Poppy Ave,Adamayview,
Adams Motor Clinic ,Van Riebeeck Road,Ogies,
Adolf Service Station,Cnr Republic & Surrey/Ferndale,,
Amandelboom Service Station,Cnr Amamdelboom & VDM Str Doornpoort,,
Amanjee s/s,2 Beacon Road ,Kliptown,
Amber Motors,3 Amper Road/Chloorkop,,
Andre Van Der Merwe Motors,27 Liverpool Road,Benoni South,
Andrews Motors - Vandyksdrift,Bessel & Hendrina,Vanwyksdrift ,
Andrews Motors-Phoekeng,Sun city road,Phokeng,
Apollo Service Station,361 Jan Smuts Avenue,Craighall Park,
Arons Motors,Old Warmbaths Road/Hammanskraal,,
Atlas Road Service Station,C/O Sher& Atlas Benoni,Lakefield,
Auto Fit S/S ,CNR Vry/Handel Street ,Standerton,
Auto Star - Witbank ,630 Voortrekker Street ,Witbank
Auto Star Orkney,Sangiro weg1,Orkney
Automotion,Under 256 Voortrekker Road/Gezina 0084,
Bakwena Filling Station,LM Mangope Highway & Rosslyn Roads,
Balfour Motors ,Stuard Street 13,
Bertrams Park Motors,66 Bertrams Rd,Bertrams
Bethanie Motors,Stand 0068,
Beyerspark Motors,Cnr Bartlett & Eros Rds/Boksburg,
Birchpark S/Centre,62 Koedoe Ave Birchleigh,
Bleskop motors,potsaneng village near boskof,Blesbok
Blitz Motors,1340 Church Street East,
Boithuso filling station,leruthsi take board,Motswedi
Bon Accord Motors,Old Warmbaths Road Bon A,
Bosveld Garage,Swart Water Hoof Pad/Alldays,
Brake & Clutch ,H/V Van Riebeeck - Tautes,Groblersdal
Bredies S/Station,Cnr Thomas/Ericson St,
Brenthurst Service Station,579 Prince george Avenue,Brakpan
Buccleuch Service Station,13 Buccleuch Drive Off Pta/Sandton,
Bunyan Street s/s,4 Bunyan Street ,Benoni
Caj petroleum,Petunia str,Zinniaville
Calex Ruimsig,Doreen road AND,Hendrik
Calstar Kempton Park,Cnr Voortrekker & Pine Str/Kempton Park,
Calstar S/S - Ermelo,111 Kerk Street ,Ermelo
Caltax white city,9090 Mlangeni street,Soweto
Caltex - Sabie,Hoof Street Sabie ,Sabie 
Caltex  Van Der Hoff,338 Van Der Hoff Rd/Hermanstad,
Caltex Adventure ,44 Johannesburg Road,Lyndhurst
Caltex Ashwood Drive,3 Ashwood Drive Clubview,
Caltex Bellavista,Cnr Bellavista & royal Streets,Linbeburg Park
Caltex Bree,300 Bree Street,Johannesburg
Caltex Bruma Service Station,74-80 Marcia Street,Bruma
Caltex Cedar Road S/S,Cedar Road/Fourways,
Caltex Crystal Park s/s,109 Totius Road,Crystal Park
Caltex Cumberland,CumberLand Ave,Bryanston
Caltex D.F Malan,D.F. Malan Drive/Cresta,
Caltex Down Town,205 Cnr Commissioner & Nugget,
Caltex florida park,22 Jan Smuts DVE Florida,
Caltex Giyani,Main Road Giyani/Masingita,
Caltex Junction S/S,Letsitele,
Caltex Junction- Turfontein,99 Turfontein  Road,Staford
Caltex Mandela Drive Ex Tritex,Nelson Mandela Street/Potgietersrus,
Caltex N4 S/S,Orchards Caltex N4 S/S,Orchards
Caltex North Star,Witkoppen Road/Witkoppen,
Caltex Pretoria North,498 Rachel De Beer Street/Wonderboom,
Caltex Sandton,Cnr Revonia & Summit Rd/Morningside,
Caltex Soshanguve,1 Commissioner St/Soshanguve,
Caltex Thoyandou,Warren Maintenance/Mphephu Str Thoyandou,
Caltex ventersdorp,1 van riebeeck road,ventersdorp
Cambridge Court S/S,Witkoppen Street/Paulshoff,
Capital Park Motors,354 Paul Kruger Street/Pretoria 0002,
Centre Court S/S,Cnr JG Strijdom/Smirnoff Rds,Weltevredenpark
Christiaan De Wet Service Stn,Christiaan De Wet St/Randburg Ridge,
Chrisville S/Station,Cnr Side & Viviene Str,Chrisville
Constatia Park S/S,"Cor,Jan Strydom & General LoL/Pretoria",
Coys Service Station, 1 Voortrekker Rd Southor,
Croydon S/Centre,Cnr Isando & Brabason Rd,Croydon
Culemborg Motors,Tulbach road,randfontein
Cullinan Motors ,Old Mill 100 Hotel Street ,Cullinan
Curtis C Motors,93 Jeppe Street,Cnr Jeppe&West
D.J. S/STN,Cnr Dal/Devonish/Pietersburg,
Damwal Vulstasie,Loskopdam,De Wagensdrift A207
Dasville S/S,Dasville ,Grootvlei
Davros Fuel Sales,51 Essenhout Street/Phalaborwa,
Dawson Motors,514 Main Street Erasmia/Erasmia 0032,
De Deur S/S ,Main JHB/Vereeniging RD,De Deur
De Graaf Corner S/St,Roy Fick,Cnr Anderson &Paul Krug
Denne Motors,5 Joubert St,Ermelo
Denver Service Station,583 Main Reef Road,Denver
Derdepoort Garage,39 Swaan Street,
Discount filling station,oliver thambo drive,Rustenburg
Doornpoort Motors,503 Airport Road/Doornpoort,
Drieziek s/s,old golden highway,orange fram
Drive In service Centre,60 Blackreef Road,
Eager Motors,90 Voortrekker St/Potgietersrus,
Edleen Circle S/S,16 Duvenhage Road,Kempton Park
Eldo Motors,66 Hyde Avenue/Eldoraigne,
Ellis Motors,83 Soutpans Road/Onderstepoort,
Eloffsdale Motors,Paul Kruger Booysens/Eloffsdale,
Elro D/Stasie,Main National Road/Hartebeespoort,
Embalenhle S/S,CNR Ingrove & Embalenhle,Embalenhle
Emfuleni Auto,Cnr Tanner & Macowan St,Vanderbijlpark
Empire toyota,48 schweizer street,schweizer reneke
End Street Motors,Cnr Jim V.D Merve & End/Clubviw,
Energy Stop,21 Van Riebeeck Str/Edenvale,
Epg Vulstasie,DF Malan  Avenue/Pretoria,
Etwatwa s/s,1357 Eiselem street,C/R kopie Motebang
Excelsior Motors,106 Trichard St/Verwoe,
Exceptional motors,3488 lebone street,tlabane
Expert  Auto,48 Good Rd,Brakpan
Factoria motors ,Barret/wright rd,Factoria
Fairlands Service Station,114 14th Ave,
Farrar Park Motors,Cnr Rondebult & Robinson/Farrar Park,
Feruccio Auto,Cnr Olympia/11th Street,Parkmore
Five Star Service Station,8 Fifth Avenue,Northmead Benoni
Florentia Motors,42 Kritzinger Road/Florentia,
Flyover Garage ,8 Voortrekker Street,Benoni
Fomiss service station,128 Gemsbok avenue,lenasia
Formula Motors,Cnr Umtata & Assegaai St,Three Rivers
Four Seasons - Maryvlei,CNR Ergo & Springs Road ,Brakpan
Fourways P/S Bapsfontein,Fourway Crossing ,Bronkospriut
Franks Auto Clinic,103 Bezuidenhout Ave,Bezvalley
Frederika St Motors,582 Frederika Str/Gezina,
Fuel A Fix,68 Barbara Rd,Marlands
Fuel O Rama-Kempton,C R Swart & Kelvin/Kempton Park,
Garden Service Centre,3 Hans Strydom Dve Linde,Linde Ext
Garfield Motors,2 Garfields Street,Alrode
Garsfontein Motors,Winifred Yell Street /Garsfontein,
Golonga 2,CNR Bell & Paul Krugers ,Nelspruit
Golonga Services ,N4,Nelspruit
Gouodkop Motors,Platan weg,Adamayview
Greentrees,52 Harmony St Muckleneuk,
Grobler Auto Clinic,41 Seventeenth Street,PageView
Hamberg Motors,87 Hamberg road,Hamberg
Harreen Motors,199 Rietfontein Road/Primrose,
Harry's Garage ,Old Vereeniging Road,
Hennico Diensstasie,Cnr Louis Trichardt 5th,Alberton
Hi way s/s zuurbekom,Plot 4848 5 Ave/potchzu,Zuurbekom
High Performance,Cnr Power & Webber Street,
HL Motors ,1 Olympic Rd & Prince,Brenthurst
Impala Motors,161 Cowen Ntuli ,Middelburg
Impala Services,47 Rolls Royce St/Impala Park,
Intertoy Motors Brits,Cnr Ludorf & Verwoerd Strs/Brits,
Irene park motors,1 van riebeeck road,Irene park
Island S/S,Comara Road,Oakdene
J.C. Service Station,Tabo Mbekie St/Pietersburg,
Johnny's Service Centre,Cnr 4th Ave & Thornton,Westdene
Jordaan Motors,Cnr Van Velden/Hendrik V,
Jorrisen Str S/S,44 Jorissen Street,Cnr Station & Jorissen
July Motors ,CNR Van Der Walt /Samuel Str,Delmas
Kempton Caltex,Cnr Long & Pretoria St,Kempton Park
Kenneth motors,Kenneth and Greenhills R,Greenhills
Khutsong Shopping Centre,Rusterwinter Turn Off At ,Skilpadfontein
Kiasha service centre ,Cnr wilbeton rd ,goldenhighway
Kingfisher S/Stn,Cnr Kingfisher & Alexndra/Fourways,
Knights S/Station,Cnr Stanley & Max STS/Germiston Ext 27,
Komat Filling Station ,9 Kerk Street , Bronkhorstspruit 
Lakeside S/S,1051 Lenchen Street/Verwoerdburgstad,
Lambco Service Centre,Cnr Potgieter Bentonite,Alrode
lefaragathle F/STN,lefaragathle village baf,main street
Leondale Service Station,C/R Bushbuck & Agapanthu/Leondale,
Lerato Motors,lehurutshe,
Levubu Service Station,30km North East of L/TRI/Venda Rd,
Linmeyer Service Station,154 Southrand Rd/Linmeyer,
Lochiel Estates Motors ,Oshoek Pad N17,Lochiel
Luckau Service Station,Main Nebo Road ,Lucau Village
Lwamondo Service Station,Lwamondo/Venda,
Magaliesberg Motors,61 Rutgers Street/By Graan Silos,
Maharasha Service Station,Bosfeld Road/Winterveld,
Mahem Motors,Van Der Hoff/Richardsbaai,
Malanshof Motors,Cnr Phillip Le Roux/H/Sc/Randburg,
Manor Service Station,25 Lynnburn Rd/Lynnburn Manor,
Mascor - Malelane,6 Buffels Street ,Malelane
Mascor- Komatipoort,Resiek Street,Komatipoort
MC Gee & Son ,CNR Voortrekker & Viljoe ,Lydenburg 
Mega Motors,Walters Street,Kriel
Melville Motors,67 Mevill ST,
Middleburg Petrol & DSL,250 Jan Van Riebeeck Street,Middelburg
Middleburg Petroleum,229 Van Riebeeck Street,Middelburg
Mini mark s/s,Cnr kerk & gerrit maritz,lichtenburg
Mintys Tyres & mags,188 Hendrik Verwoerd Drive,Randburg
Mlangeni s/s,97 Shabango str,Kwathema
Moffats Garage - Vereeniging,42 Gen . Smuts Rd,Vereeniging
Molopo s/s-Mafeking,Nelson mandela drive,mafikeng
Momentum Motors,Cnr Roets & Viviers/Soekmekaar,
Monument Park Motors,Cnr Elephant/Skilpad St/Monument,
Motordeal Pit Stop ,Westinghouse Boulevard,
Motorserve Randburg,160 Hendrik Verwoerd Drive/Randburg,
Motorserve Service Station,56 Victria Street/Germiston,
Mpho Filling Station,1149 Block X/Mabopane,
Multicheck Allignment,14 Van Riebeeck Ave,Edendale
Naboom Vulstasie,168 Hans Van Rensburg St/Naboomspruit,
Nasuma Motors,68 Main Road/Eersetrus,
Natric Motors,39 Siemert Road/Doorfontein,
Nes Ve Nes,Main Rd Between Brits & Pta/Brits,
New genera s/s,"Barlo st, north cruise",Dickonsonville
Nicben S/S,72 A Kerk Street ,Betahal
Nigel Services,Cnr Heidelburg&Springs Rd,Nigel
Norick Motors,2 Fountain Road Eastleigh,Eastleigh Edenvale
North Point Service Station,Cnr Trichard & Dassen Rds/Impala Park,
Northcliff Motors-Gorden Road,131 Gorden Road,
Northen MTS,39 Danie Joubert Str/Tzaneen,
Norvic Motors,Old Durban Rd,Heidelberg
Nova Motors,Cnr Watermeyer&Steenkamp,Witbank
Nuffield Garage ,Springs ,
Oakland Mtrs,Cnr 17th Ave & Fourth St/Oaklands,
Ohrighstad Oasis ,Main Road ,Orighstad
Omega Service Centre Caltex,Andries Street 52/Pretoria,
One up s/s-,1152 Sontaga street,Kumalo Valley
Orchards Motors,Deoreen Street/Pretoria,
Osborne Rd S/Station,Cnr Osborne & Esanndar Rd/Wadeville,
Oxford Rd S/S,Cnr Bolton & Oxford Rd,Rosebank
P & E Dienssentrum,2 Preller street,La hoff
P S Motors,Hans Van Rensburg Street/Naboomspruit,
Palm Motors-Makhado,2 Kort Street,
Palm Plaza,Off Settlers Road/Warmbaths,
Park motors -Witbank,Cnr Jellicoe & President,Witbank
Park Motors-Rustenburg,H/V Klopper,Rustenburg
Parks Motors Standerton,Piet Retief St,Standerton
Parkview Motors,Frikkie Meyer Blvd,Vanderbijlpark
Pavand motors,2 Main Reef Rd,Brakpan
Phefeni s/s Caltex,2241 Mahalefela road,Dube village
Pick n Pay Wonderpark,Cnr Camelia/Clarissa,
Pioneer Motors,6 Harterbees rd,Stilfontein
Plaza Filling Station,Main Road,Acornhoek
Plaza Motors,Shudram Shop 1 indain Pl,lichtenburg
Pollak Park S/S,45 Service Road,Pollak park
Pooes s/s,862 Koma Road,Senaone
Potchefstroom s/s,CNR Potgiter,Potchefstroom
Pretoria Nissan Sinoville,9 Zambezi Road/Sinoville,
Prima Motors- Sebenza,Cnr Venda&Betschana Rd,Sebenza
Protea city ,Impala rd R558,protea glen
Pullenshope Motors,Business Centre,Pullenshope
Queenswood Motors,Lorren Street/Queenswood,
Rainbow s/s,24 sebe st,sebokeng
Randburg Waterfront,Republic Rd/Ferndale,
Rapid Auto Services,Cnr Trichard & Paul St/Boksburg North,
Remlando Motors,575 Louis Botha Ave,Bramley
Renday Mtrs,384 Michael Brink St/Gezina,
Robertsville motors,Main Reef rd,Robertsville
Roosebank Caltex,172 Jan Smuts Avenue/Rosebank,
Rouxville S/S,289 Louis Botha Ave Chel/Rouxville,
Ruhamah s/s,1 Ruhamah Drive,Heloerkruin
Safari Motors L/Trichardt,54 Joao Albasini St/Louis Trichardt,
Samjan onderdele,16 Genl Delarey St,Delareyville
Sara city motors,8660 zone 6,Diepkloof
Saspark Auto ,Golden Highway VDB,Vanderbijlpark 1911
Sekatis Garage,6911 Kubone St/Mamelodi,
Seko Motors,Seshgo/Bokhum Area,
Shalatis,CNR Brain Mazibuko,Nkanyamba
Shamrock Service Station,43 Shamrock Road,Primrose
Shiraz auto,CNR protea & nirvana dve,lenasia ext
Shiraz Delta Caltex,CNR Nirvana an Proteas rd,Lenasis ext
Silmars Motors ,74 Central Ave Mayfair,Mayfair Jhb
Silver Solutions,1 Norda Street,Leslie
Simunye S/S - Brakpan,702n Voortrekker Road,Brakpan
Sirkel Motors,Cnr Looopsruit,fochville
Sitanani Caltex,Theo Kleynhan St,White River
Sollys Garage-Jhb,280 Marshal and Kruger Street,
Sonnys motor inn,24 Geluksoal road,Geluksdal road
Sorex Service Centre,262 Springbok Str/Wierda Park,
Southgate Filling Station,Palmiefontein 14/Lebowagpmp Pad,
Spartan S/Station,66 Plane Road,Spartan
SSJ Motors,222 Voortrekker road,Brakpan 1540
Standard Motors,Johan Le Roux Weg,Meyerton
Star Circle S/Station,Cnr Beyers Naude & Peter Rd/Honeydew,
Star Services,Cnr Hennie Alberts/J G S/Brackenhurst,
Star Stop Egolie (south),Ben Schoeman Highway/Midrand,
Star Stop Egolie(North),N1 Midrand Highway/Midrand,
Star Stop Milly's ,N4 Mashada Dorp,Highway
Star Stop-The Ranch Pietersburg,Pietersburg/Main Road,
Stirling Motors,Commando & Maraisburg Rd,
Strydom Park S/S,Cnr CR Swart/Tungsten St/Randburg,
Summerfield Service Station,Cnr Platina Ave/Robyn St/Jukskei Park,
Sunward Services,300 Kingfisher Drive/Sunward Park,
T.M. Nissan ,18 Hereford Road ,Groblersdal
Task Motors ,119 De Villiers Street ,Berberton
The Downs,William Nicol Drive/Bryanston,
The Estate Motors Midrand,Cnr Le Roux and Richard Str/Midrand,
The Post House S/St,Post House Shopping Centre/Main Road,
Tom Jones Garage,9 Tom Jones Street,Benoni
Topax D/Stasie,18 Voortrekker,Hartbeesfontein
Trip R Motors,Barrage Road,
trisano s/s mercury,Mercury rd,jouberton
Tritex Motorland,Beitel Street/Potgietersrus,
Tritex-Sibasa,Mphephu Street/Thoyandou,
Trophy Motors,Stand 22 Botha Street/Duiwelskloof,
Tunewell Motors,95 Lower Germiston Rd Ave,Heriotdale
Turbo Motors VDBJLP,CNR Molton & Langenhoeven Str,Vanderbijlpark 
Twin Star Filling Station,14 Schreding Street ,Amersfoort
