SITE NAME,DEALER,PHYSICAL ADDRESS,Suburb,TEL NO,FAX NO,CELL NO,Custodian
Abisha Motors,Rita Kruger,Troye Str Sunnyside Pta,I North,012 440 4244,012 440 4245,082 468 8656 ,Willem Goudriaan
Abrona,Du Breez Leon,"530 Bekker Street.Vorna Valley,Midrand",3rd North,011 3121741,011 3121045,082 672 7200,Muneer Patel
ADMIN S.S,LOWEN MAUPA,"2169 MASAKHANE STR, ADMIN BLOCK",G East,,(011) 622 9980,083 326 3996,closed
Adriaana,Van Rensberg Adiana,157 Main Reef Road. Lewisham,3rd West,,,,Clint Gali
Albys,Molensdorff Rina,40 Magaliesburg Road. Elandsrand,3rd North,012 5491572,012 5491573,n\a,Willem Goudriaan
Alexandra Service Stn,Mark Maitland,Cnr Rooseveldt & ,G Centr,072 338 8838,,,Nkosinathi
ALFA BOKSBURG,MOHAMMED ESSOP,"234 COMMISSIONER STR, BOKSBURG",G East,(011) 917 - 9536,(011) 917 - 2091 ,083 276 1244,Muneer Patel
ALL AFRICA VILLAGE,Vincent Molokwu,2981  Far East Bank Ext 4,G Centr,011-264 5901,,,Nkosinathi
Allandale,Moebeen Dassoo,Allandale Rd Geln Austin,G Centr,310-8171,310-9689,082-491-0587,Nkosinathi
ALPHEN PARK MOTORS ,JOHAN DE BEER,"15 MERCURY ST ALPHEN PARK, BENONI",G East,(011) 894 - 6312,(011) 894 - 3210,082 557 3581,Muneer Patel
Annlin Plaza ,,,3rd North,,,,CLOSURE
ARCON PARK F/STN ,PEET DU PREEZ,"Cnr Arum & Lee Street, Arcon Park ",G SW,016 - 428 3261,016 - 428 5391,083 266 3386/5,Clint Gali
ARMSTRONG 1 S/STN ,ARMSTRONG MOTALE ,"4497 Moshoeshoe Road, Sebokeng ",G SW,016 - 594 4980,Ask,083 397 2375,Clint Gali
ARMSTRONG 2 S/STN ,ARMSTRONG MOTALE ,"2 Vilakazi Road, Sebekeng ",G SW,016 - 594 4980,Ask ,083 397 2375,Clint Gali
ARMSTRONG 3 S/STN ,ARMSTRONG MOTALE ,"394 Adams Road, Sebokeng ",G SW,016 - 594 4980,Ask ,083 397 2375,Clint Gali
Armstrong Auto S/Stn,ARMSTRONG MOTALE ,"Main Reef Rd, Langlaagte",3rd South,,,,Clint Gali
Atlas Rd S/Stn,W.Olivier,DeHaviland Av. Boksburg East,3rd East,011x8947165,011x8947164,082 557 7547,Muneer Patel
Auto Mart,Howard Buck,Central St Kempton park,G Centr,975-0793,394-2331,084-404-0004,Nkosinathi
Avondale S/S (De Beers ss),S. DE Beer,Pretoria Rd. Primrose Germiston,3rd East,011x8288174,011x8288174,084 706 6941,Muneer Patel
Avonlea,Willie Ludick,Fourth Rd Bredell,G Centr,396-2023,396-2615,082-899-1367,Nkosinathi
Azzurri Conv CEN,Rob Dubbini,"12 Mouton Rd, Horizon View",G Centr,763 3256,762 3410,083 400 9944,Nkosinathi
Bachmann Motorhawe,Gert v Vuuren,Doreen & frans du Toit St Rosslyn,I North,012 541 3034,012 541 5042,082 470 7013,Clint Gali
Bakenkop,Willem Potgieter,Theuns v Niekerk St Wierdapark,G Centr,653-4139,653-2471,082-556-5723,Nkosinathi
Bakers Garage,Len Baker,12 Thabo Mbeki Street,I North,015-295-4641,015 295 3105,,Willem Goudriaan
BASIC MOTORS ,VICTOR SITHOLE ,"CNR 5620 BEN NAUDE DRIVE & IMMUNIL, DIEPKLOOF, SOWETO ",G SW,011 - 985 1075,011 - 982 5511,083 375 4555,Clint Gali
Basil Orr,Basil  Orr,Randfontein Road Westonaria,3rd South,011x7515547,011x7541777,073 149 4697,Clint Gali
Bassonia CC,NAINESH SEETHA,"Cnr Comaro & Soet Doering, Bassonia ",G SW,011 - 432 3680,011 - 432 3082,083 680 7985,Clint Gali
Basson's Conv Ctr.,Stoffel & Eileen Gebhardt,"Cnr Ham & General Pienaar streets, Witpoortjie",G Centr,664 7210,955 3124,082 878 1997,Nkosinathi
BATEBANG S.S,OUPA RAKOSA,"819 MAPHIKE STR, RAMOKONOPI SECTION, KATLEHONG",G East,(011) 905 4890,(011) 860 1889,082 453 2837,Muneer Patel
