Code,Description,CAS Code,CAS Description
*513892,Blender,FOD_BLEN,Brazilian Blender
*513913,Ambiant Display Unit,FOD_ABDU,Ambiant Display Unit
*514014,Cake Display Unit,FOD_CAKE,Cake Display Unit
*514225,Grinder,FOD_GRIN,Brazilian Grinder
*514236,Pie Warmer,FOD_PIEW,Pie Display Warmer Unit
*514562,Prover,FOD_PROV,Prover
*514838,Lightning and Surge Protection,ELC_LASP,Lightning and Surge Protection
*515673,Pipework Dip Cap,FSY_PIPE,Pipework
ATTAG,Attendants Tagging,FSY_DISP,Dispenser
EQ001,Graffiti Re-painting Set,BLD_ANCY,Ancillary
EQ002,Painting,BLD_ANCY,Ancillary
EQ003,Pest Control,BLD_ANCY,Ancillary
EQ005,Canopy,BLD_CAN,Canopy
EQ007,Canopy Ceiling,BLD_CAN,Canopy
EQ008,Canopy Roof,BLD_CAN,Canopy
EQ010,Canopy Stanchion,BLD_CAN,Canopy
EQ013,HGV Canopy,BLD_CAN,Canopy
EQ014,HGV Canopy Ceiling,BLD_CAN,Canopy
EQ015,HGV Canopy Roof,BLD_CAN,Canopy
EQ016,HGV Canopy Stanchion,BLD_CAN,Canopy
EQ017,Carwash Bay Heaters,BLD_CAR,Carwash Building
EQ018,Carwash Building,BLD_CAR,Carwash Building
EQ019,Carwash Floor,BLD_CAR,Carwash Building
EQ020,Carwash Floor Leak Tight Surface,BLD_CAR,Carwash Building
EQ021,Carwash Floor Tiles,BLD_CAR,Carwash Building
EQ022,Carwash Wall,BLD_CAR,Carwash Building
EQ023,Carwash Wall Tiles,BLD_CAR,Carwash Building
EQ024,Washbox / Jetwash Building,BLD_CAR,Carwash Building
EQ028,Restroom,BLD_DOM,Restroom
EQ029,Restroom building Ceiling,BLD_DOM,Restroom
EQ030,Restroom building Floor,BLD_DOM,Restroom
EQ031,Restroom building Floor Tiles,BLD_DOM,Restroom
EQ032,Restroom building Wall,BLD_DOM,Restroom
EQ033,Restroom building Wall Tiles,BLD_DOM,Restroom
EQ034,Carwash Automatic Door Controls,BLD_DOOR,Doors
EQ035,Carwash Main Doors,BLD_DOOR,Doors
EQ036,External Security Door,BLD_DOOR,Doors
EQ037,Internal General Door,BLD_DOOR,Doors
EQ038,Internal Security Doors,BLD_DOOR,Doors
EQ039,Shop Automatic Door Controls,BLD_DOOR,Doors
EQ040,Shop Automatic Doors,BLD_DOOR,Doors
